vacancy,url,created,has_test,salary_from,salary_to,currency,experience,schedule,skills,employer,area,description
Tech Lead Java (MOEX),https://hh.ru/applicant/vacancy_response?vacancyId=42153355,2021-08-02T19:42:47+0300,False,,,,От 3 до 6 лет,Полный день,Java SE;Spring Framework;SQL;Web Application Development;Oracle Pl/SQL;,Московская Биржа,Москва,"Мы разрабатываем главную бэк-офисную систему Биржи - Единую клиентскую базу данных (ЕКБД). Это IT-решение автоматизирует бизнес-процессы компании в сфере учета и управления информацией о клиентах. Речь идет об участниках торгов, участниках клиринга, эмитентах ценных бумаг и др. Сейчас основная часть системы представляет собой монолит, в котором логика реализована на Java 8 и PL/SQL, а интерфейс пользователя на JSF. Мы понимаем, что такой архитектурный подход давно потерял свою актуальность, а реализация имеет много ограничений. Поэтому перед нами стоит задача в ближайшие два года провести архитектурный рефакторинг ЕКБД: выделить системную и бизнес-логику в отдельные сервисы, отделить сервисный слой от слоя представления и перенести интерфейс пользователя на актуальный стек. Мы уже приступили к разработке новой технологической платформы, на которую постепенно перенесем все бизнес-процессы монолита. Стараемся реализовывать новые задачи уже в целевой парадигме, но пока часто это приходится делать в монолите. Особенно, если речь идет об исправлении дефектов и небольших доработках. Для нас важно, чтобы кандидат не боялся погрузиться в то, что у нас есть сейчас (JSF/Prime Faces, HTML/CSS, JavaScript и jquery, PL/SQL), и участвовал в миграции на новую архитектуру. Наш целевой стек: Java 13+, React 16+, Camunda BPM, SpringBoot/SpringCloud, Netflix, Vault, Artemis, Kubernetes, Apache Maven. Мы используем для работы GitLab CI, Jenkins, Jira и Confluence. Руководитель осуществляет техническое управление продуктовой или проектной командой, назначает задачи и контролирует ход их выполнения, следит за сроками и качеством выполнения задач.Занимается планированием, определяет очередность выполнения задач и оценивает трудозатраты. Участвует в формировании команды, проводит технические интервью.Направляет профессиональное и личностное развитие членов команды, мотивирует и поднимает уровень их компетенций. Участвует в создании и улучшении производственных процессов внутри команды и отдела.Разрабатывает, внедряет и сопровождает решения на языке Java уровней backend и middleware. В зону вашей ответственности будет входить:  Эффективно управлять командой разработки: назначать задачи, координировать ход их выполнения, контролировать сроки и качество работы Разрабатывать, внедрять и сопровождать Java решения уровней backend и middleware Заниматься планированием, определять очередность выполнения задач и оценивать трудозатраты Разрабатывать и согласовывать архитектурные решения и интерфейсы интеграции с внешними системами Участвовать в формировании команды, проводить технические интервью Направлять профессиональное и личностное развитие членов команды, мотивировать и поднимать уровень их компетенций Участвовать в создании и улучшении производственных процессов внутри команды и отдела  Для этого важно:  Опыт разработки на Java не менее семи лет, в том числе создания распределенных и высоконагруженных систем с использованием принципов сервисной или микросервисной архитектуры Опыт управления командой от двух лет, уверенное знание средств ведения проектов и командной разработки Лидерские качества: умение мотивировать команду, обучать и развивать сотрудников, помогать им эффективно работать вместе Умение принимать и обосновывать решения, отличные навыки коммуникации Высокая техническая экспертиза по современному backend стеку Java (Spring, Spring Boot, REST, JMS, JDBC/ORM etc.) Понимание микросервисной архитектуры, методологии DevOps и опыт работы с окружением CI/CD Понимание технологии контейнеризации и оркестрации Отлично знание принципов ООП, умение обоснованно применять шаблоны (GRASP, GoF etc.) Технический английский, на уровне чтения документации  Будем плюсом:  Высшее техническое образование Опыт проектирование сложных реляционных моделей данных Знание и опыт применения архитектурных шаблонов (Enterprise Intergation Patterns или др.) Навыки технического моделирования с применением UML 2 Опыт работы по матричной модели с применением agile-методологий Опыт использования Gitlab CI, Nexus 3 и Docker для выполнения CI/CD "
Software Engineer (java),https://hh.ru/applicant/vacancy_response?vacancyId=38179303,2021-08-03T06:11:58+0300,False,,,,Нет опыта,Удаленная работа,,Xored,Томск,"Приглашаем инженера-программиста на проект, в котором мы создаем решения по управлению сетевыми лабораториями и дата-центрами. Нашими решениями пользуются такие компании, как Nokia и AT&amp;T. Основные задачи, которые мы решаем на текущем проекте:  Управления лабораториями и дата-центрами с тысячами устройств. Эффективное использование ресурсов. Обеспечение отсутствия конфликтов одновременного доступа к оборудованию. Автоматическое конфигурирование лаборатории. Автоматизация запусков тестовых скриптов на заданных логических топологиях сети. Отчеты о выполнении тестов и востребованности ресурсов.  Некоторые технические задачи:  Создание, удаление, конфигурирование виртуальных устройств в облаке. Проверка возможности существования логических топологий в лаборатории. Подбор реальных и виртуальных устройств с требуемыми параметрами. Автоматическая настройка сетевого оборудования. Формирование нарядов на работы для персонала.  Основные технологии:  Frontend: ES6+, React, Immutable.js, Redux Backend: Java, Wildfly, PostgreSQL Other: Python, C++, Go, Selenium, Elasticsearch, Kibana  В настоящий момент над проектам работает самая большая команда в компании - 10 человек. Регулярно в команде проходят семинары по насущным проблемам проекта, ретроспективы раз в две недели, а также planning poker для более точных оценок. Наши ожидания:  Знание классических алгоритмов и структур данных. Уверенное знание Java Core. Опыт коммерческой разработки на Java. Знание английского на уровне Intermediate и выше. Высокий уровень ответственности и самостоятельности. Умение работать в команде и создавать законченные продукты.  Мы предлагаем:  Возможность поработать со специалистами высочайшей квалификации и научиться у них чему-то новому. Решение разноплановых задач, а также работа с современными технологиями. Работа напрямую с заказчиками с мировым именем. Гибкий рабочий график: возможность выстраивать свой рабочий день так, как удобно, или иногда работать из дома. Высокий уровень заработной платы. У нас полностью белая зарплата без задержек по выплатам. Каждодневное развитие, постоянное знакомство с чем-то новым. "
Java-разработчик,https://hh.ru/applicant/vacancy_response?vacancyId=45980651,2021-08-03T10:01:04+0300,False,,,,От 1 года до 3 лет,Полный день,Hibernate ORM;Spring Framework;Java;PostgreSQL;Apache Maven;,ДжейТи консалтинг,Ижевск,"Вас приветствует IT-Компания JTC - Just a Team of Creators!  на рынке с 2007 года. основной вид деятельности: разработка систем ЭДО (электронный документооборот) и собственных коробочных решений. можно работать из офисов: Москва, Рязань, Ижевск, Санкт-Петербург  В связи с расширением предлагаем на ваше рассмотрение вакансию Java-разработчик.Обязанности  проектирование и разработка backend высоконагруженных web-приложений с использованием микросервисной архитектуры интеграция со сторонними сервисами рефакторинг  Требования  опыт работы с java от 2 лет Java 8, Hibernate, SQL(PostgreSQL/Oracle/MSSQL), Spring Framework, Maven/Gradle знание основных алгоритмов и структур данных  Условия:  конкурентная заработная плата по результатам общения и в зависимости от рейта (открыты для диалога) соблюдение TK РФ уютный офис и современная техника на рабочих местах гибкий рабочий график с началом работы с 8:00 до 11:00 ДМС с расширенным набором услуг чай, кофе, бонусы на ДР интересные и нетривиальные задачи возможность посещать семинары, тренинги, конференции дружный коллектив профессионалов, комфортная атмосфера возможность участия в крупных и интересных проектах "
Программист Java,https://hh.ru/applicant/vacancy_response?vacancyId=44032777,2021-07-29T16:07:05+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Java;HTML;CSS;Spring Framework;JavaScript;PostgreSQL;SVN;Git;Intellij IDEA;,R-Style Softlab (Эр-Стайл Софтлаб),Симферополь,"Мы делаем банковские ИТ продукты, которые улучшают жизнь миллионов людей. Наши системы интернет-банкинга и мобильные приложения успешно работают в крупнейших банках России и СНГ. Мы наращиваем портфель заказов и поэтому расширяем наши проектные команды! Чем предстоит заниматься:  Совершенствовать и наполнять новыми возможностями систему интернет-банкинга Interbank RS (многопользовательская высоконагруженная система) Делать интеграцию продукта с различными банковскими системами Разрабатывать пользовательские интерфейсы, бизнес-логику Участвовать в проектировании баз данных  Мы особенно ждем:  Умеющих разрабатывать web-приложения на Java с опытом разработки от 1 года  Хорошо владеющих Java SE (1.7, 1.8)   Владеющих стеком - Java EE (Servlets, JAX-WS/RS, JMS), Spring Framework, Hibernate   Умеющих работать с системами контроля версий (SVN/GIT)   Понимающих принципы создания многопоточных приложений, а в идеале - и принципы построения решений в микросервисной архитектуре   Что может предложить R-Style Softlab:  Работа в надежной стабильной компании (участник рейтинга работодателей России hh.ru) - лидере рынка банковской автоматизации; Оформление в соответствии с ТК РФ; Заработная плата официальная - оклад и достойные премии по результатам работы; График работы: 5/2, полный рабочий день, гибкое время начала рабочего дня (с 8 до 11); Добровольное медицинское страхование, хорошие клиники и программы; Корпоративное обучение. "
Java Developer,https://hh.ru/applicant/vacancy_response?vacancyId=46646804,2021-07-30T09:36:25+0300,False,,,,От 1 года до 3 лет,Гибкий график,,DataArt,Казань,"Java Developer  ABOUT THE VACANCY DataArt is a global software engineering firm. With over 20 years of experience, teams of highly-trained engineers around the world, deep industry sector knowledge, and ongoing technology research, we help clients create custom software that improves their operations and opens up new markets. DataArt started out as a company of friends and has a special culture that distinguishes it from other IT outsourcers, such as: — Flat structure. There are no “bosses” and “subordinates”. — We hire people not to a project, but to the company. If the project (or your work in it) is over, you go to another project or are paid for being “Idle”. — Flexible schedule, ability to change projects, to work from home, to try yourself in different roles. — Minimal bureaucracy and micromanagement, convenient corporate services. RESPONSIBILITIES    Coding, unit testing, building new services   Participate in designing and architecting solutions and services   Implementation of and participation in releases     Collaboration with teammates, tech, and product leadership   REQUIREMENTS    2+ years of commercial development experience   Spoken English   Experience in the development of applications using the Java Enterprise platform     Good knowledge about OOP and Design Patterns   Experience with Spring, Spring Boot   Understanding of data structures   Experience with microservice architectures   Solid Knowledge of SQL and NoSQL databases     Experience with SDLC, Docker, Kubernetes, AWS   3+ years of experience in the development of web applications   Knowledge of Agile methodologies   WOULD BE A PLUS   Knowledge of JavaScript frameworks (React.js, Angular.js, Backbone.js, Bootstrap)     Experience creating rich user interfaces (UI) based on HTML   Experience with the installation and administration of application servers (Tomcat, JBoss, GlassFish)   Experience using Continuous Integration systems (TeamCity, Bamboo, Jenkins, Gitlab CI)   DataArt offers   Professional Development:— Experienced colleagues who are ready to share knowledge;— The ability to switch projects, technology stacks, try yourself in different roles;— More than 150 workplaces for advanced training;— Study and practice of English: courses and communication with colleagues and clients from different countries;— Support of speakers who make presentations at conferences and meetings of technology communities.     The ability to focus on your work: a lack of bureaucracy and micromanagement, and convenient corporate services;   Friendly atmosphere, concern for the comfort of specialists;   Flexible schedule (there are core mandatory hours), the ability to work remotely upon agreement with colleagues;   The ability to work in any of our development centers.  "
Тимлид Java,https://hh.ru/applicant/vacancy_response?vacancyId=42026173,2021-08-02T12:37:37+0300,False,,,,От 3 до 6 лет,Удаленная работа,Java;Spring Framework;Hibernate ORM;Kafka;PostgreSQL;InfluxDB;Atlassian Jira;ActiveMQ;RabbitMQ;Git;ClickHouse;Управление разработкой;JMS;,Транснефть-Технологии,Москва,"Обязанности:  Участие в проектировании и принятии архитектурных решений; Проектирование высоконагруженных проектов; Изучение и внедрение новых технологий; Управление группой разработчиков; Выстраивание процессов разработки и тестирования; Организация работы с микросервисной архитектурой; Разработка на Java. Программирование ключевых проектных частей; Техническая проработка и декомпозиция задач, выбор подходов и способов реализации, планирование и оценка результатов; Контроль применяемых технических решений и архитектуры; Знание принципов Agile разработки.  Требования:  Высшее техническое образование (IT как преимущество; Опыт работы в роли системного архитектора/Teamlead от 2-х лет; Опыт работы на Java от 5-х лет; Знание и понимание основных принципов ООП, алгоритмов, структур данных и паттернов проектирования ПО; Знание и опыт работы: Java 11, Core Java (многопоточность, collection), Spring Framework, JMS, Maven/Grandle, Docker/Kubernetes, Unit testing, MSA, Nginx, REST/SOAP API, Kafka, RabbitMQ, Опыт работы с PostgreSQL и/или другими RDBMS. Опыт проектирования DB/DWH. Оптимизация SQL запросов. Понимание принципов REST и умение писать качественный API, отвечающий стандартам; Использование в работе Git, Jira; Мониторинг: Prometheus/Grafana; Личные качества: ответственность, высокая работоспособность, способность и желание быстро решать нетривиальные задачи, осваивать новые направления в работе, готовность к командировкам.  Дополнительно приветствуется:  Знание современных SCADA платформ; Знание NoSql баз данных: ClickHouse, Influx Понимание принципов кластеризации, партицирования, шардирования Знание промышленных протоколов: MQTT, OPC UA, IEC 60870-5-104 и т.д.  Условия:  Работа в стабильной, развивающейся компании, высокий уровень дохода (оклад +ежемесячные премии), широкий социальный пакет: медицинское страхование, доплата к отпуску, частичная компенсация санаторно-курортного лечения и отдыха. Возможность удаленной работы "
Ведущий Java разработчик,https://hh.ru/applicant/vacancy_response?vacancyId=44329563,2021-08-01T13:08:42+0300,False,,,,От 3 до 6 лет,Удаленная работа,Java EE;Spring Framework;Java;Hibernate ORM;SOAP;,ASSIST,Санкт-Петербург,"Assist – ведущий российский разработчик и интегратор платежных решений – в связи с расширением штата открывает вакансию на позицию Ведущий Java разработчик. Обязанности:- разработка на java- участие в оценке задач и анализе требований- технический контроль, code-review- самостоятельная реализация поставленных задач, аргументированный выбор решения- использование современных подходов, инструментов и технологий- совершенствование производственного процесса проекта- написание unit тестов От кандидата мы ожидаем:- опыт проектирования или участие в разработке высоконагруженных и отказоустойчивых распределенных систем не менее 5х лет- хорошо владеете и имеете опыт применения по основным техническим компонентам и протоколам, необходимым для разработки клиент-серверных приложений (json\xml\http\ssl\Message broker\soap\rest\etc)- имеет опыт анализа чужого кода, оптимизации и рефакторинга в поисках лучшего решения- хорошо знаком с реляционными СУБД и обладает навыками чтения, написания несложных SQL запросов- языки программирования:Java 8/11+ — хороший уровеньSQL — базовый уровеньJavaScript - базовый уровень- методикиООП - Отлично ориентируетесь в концепцииClean code, SOLID принципы — хороший уровеньПаттерны проектирования – хороший уровень (знание и умение применять)SOA и микросервисные архитектуры – базовый уровньCode Review - базовый уровеньGit flow — базовый уровеньДополнительно приветствуется:- наличие подтверждающих сертификатов/дипломов прохождение специлизированных курсов или сдачи экзаменов- знание и опыт работы с фреймворками Spring, Micronaut, Coldfusion (Lucee), Hibernate, GWT, REACT- хорошо владеете средствами организации командной среды разработки (Jira\Confluence)- знание и опыт других языков программирования- имеет представление и знания о принципах контейнеров (Docker)- опыт работы с облачными решениями от Amazon и Yandex Работа в Assist это:  Официальное оформление; ДМС; Позитивная атмосфера в коллективе, регулярные корпоративные мероприятия   "
Junior Java developer (JSF),https://hh.ru/applicant/vacancy_response?vacancyId=42986038,2021-07-30T10:29:26+0300,False,,,,От 1 года до 3 лет,Гибкий график,Java;Spring Boot;Apache;,Группа компаний «БПЦ»,Москва,"«БПЦ Банковские Технологии» - международная компания, лидер в области решений для платежной индустрии. Компания основана в 1996 году. Центры разработки, поддержки и сопровождения клиентов находятся в Москве, Санкт-Петербурге, Волгограде, Казани и Кирове. «БПЦ Банковские Технологии» является разработчиком и дистрибьютором семейства продуктов SmartVista, которое обеспечивает поддержку и оптимизацию бизнес-процессов в сфере платежей. Клиентами компании являются более 200 крупнейших и наиболее динамично развивающихся компаний в мире, включая национальные процессинговые компании, финансовые институты, розничные сети и мобильные операторы, транспортные компании, микрофинансовые организации. Сейчас мы активно развиваемся и ищем Java developer в команду разработки ядра SmartVista. Основная задача: ​​Фронтовая разработка пользовательского интерфейса Мы ожидаем:  Опыт коммерческой разработки от 1-ого года Знание следующего стека: Java 8, JSF, Spring Boot, Spring Security, Apache CXF, Apache Camel, iBatis Высокий уровень самоорганизации Инициативность и здоровое любопытство  Мы предлагаем:  Работа по ТК РФ ДМС, языковые курсы, компенсация фитнеса Оплачиваем участие в конференциях, митапах Работа с полным спектром новейших Java и Grid технологий Молодой дружный коллектив профессионалов, у которых есть чему научиться Интересные разнообразные задачи, возможность самому внедрить и опробовать новые технологии Гибкий график работы, оплата переработок Можно работать удаленно :) "
Middle Java developer,https://hh.ru/applicant/vacancy_response?vacancyId=45928746,2021-07-30T12:08:25+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Spring Framework;Java;Git;Английский язык;MySQL;,Magenta Technology,Тольятти,"Magenta - международная продуктовая IT компания, специализирующаяся на разработке сложных программных решений в сфере логистики уже более 20 лет. А именно разрабатываем проекты от идеи до масштабирования на рынке. Наша основная ниша - это логистика, мы реализуем абсолютно разный софт, веб сервисы в этом направлении, наши продукты «Maxoptra» и «Echo», их кастомные и коробочные версии, работают у клиентов из Великобритании, Европы, США, Южной Америки, России и ОАЭ. Cейчас мы в поисках Java разработчика, который станет частью нашей дружной команды и подключится к крупному проекту в области разработки логистической системы (проект для нефтегазового сектора) для оптимизации маршрутов и улучшения эффективности работы поездок различного транспорта. Стек:  back - Java8, Spring, MySQL, Docker; front - Angular 2+  Что Вы будете делать:  разработка только back-end части системы; покрытие кода unit тестами; code review.  Работа в Magenta Technology – это:   Официальное трудоустройство с расширенным соц. пакетом:  ДМС для вас после испытательного срока и после 3 лет работы для ваших супругов, детей до 18 лет; Английский язык. Компенсируем 50% от стоимости уроков, SkyEng Корпоративные скидки. Предоставляются корпоративные скидки компаний партнёров. (Фитнес-центр Физкультура, школа программирования Кодабра) IT ипотека; Материальная помощь; Подарки на важные события в жизни;а еще: Гибкая зарплатная вилка – мы отталкиваем от ваших ожиданий и опыта; Гибкий график работы, гибкое начало рабочего дня с 9:00 до 12:00, Территориально готовы рассмотреть сотрудников в наших локациях, а также на полностью удаленный формат работы из любого города, если вы умеете это делать :) Менторинг и индивидуальные планы развития, ежегодные review; Развитие Soft Skills и Hard Skills (внутренние и внешние тренинги, митапы); Комфортный офис и насыщенная корпоративная жизнь (выезды и сборы по интересам, онлайн и оффлайн игры, и куда же без мерча) "
Senior Java-разработчик,https://hh.ru/applicant/vacancy_response?vacancyId=46411233,2021-07-29T17:28:43+0300,False,,,,От 3 до 6 лет,Полный день,Java;Hibernate ORM;Spring Framework;Apache Maven;Git;JBoss;PostgreSQL;ORACLE;,Integrity Solutions,Москва,"Integrity Solutions (часть группы компаний Luxoft, a DXC Technology Company) – компания, занимающаяся разработкой и развитием цифровой облачной платформы нового поколения и оказывающая услуги в области заказной разработки. Мы ищем специалистов для развития современного высокотехнологичного решения, позволяющего создавать и запускать бизнес-процессы используя визуальное моделирование, репозиторий билдинг-блоков и AI. Система позволит запускать большое количество различных бизнес-процессов на базе единой платформы, включая предназначенные для социально-значимых, образовательных и коммерческих продуктов, которые необходимы миллионам пользователей по всей стране.   Обязанности:  Разработка приложений и сервисов Проектирование приложений на Java Разработка интеграционных сервисов Участие в оценке задач по срокам выполнения, декомпозиция задач Проведение code review Отслеживание исполнения релизного цикла и сроков прохождения quality gate Управление командой разработчиков, постановка и контроль задач    Мы ожидаем от Вас:  Опыт разработки на Java от 3 лет Опыт командной разработки коммерческих приложений, знание основных методологий разработки программного обеспечения, проведения модульного тестирования (JUnit и TestNg) Знакомство с технологиями Spring Framework, Hibernate ORM, JDBC, JMS, JMX Опыт работы с инструментами Jira, Confluence, Git,Jenkins, Sonar, Maven, Gradle, Nexus Опыт работы с сервером приложений WildFly (JBoss) Понимание принципов работы и особенностей SQL иNoSQL хранилищ: Oracle, PostgreSQL, Cassandra, Apache Ignite Опыт использования стека технологий Hadoop, Apache Kafka Умение работать с linux command line, писать минимальные bash-скрипты. Опыт работы с MongoDB, Docker/Kubernetes   "
