vacancy,url,created,has_test,salary_from,salary_to,currency,experience,schedule,skills,employer,area,description
Lead Data Analyst (Gamedev / Casual),https://hh.ru/applicant/vacancy_response?vacancyId=45926202,2021-07-02T13:00:00+0300,False,,,,От 3 до 6 лет,Полный день,Python;SQL;Tableau;Pandas;Numpy;Matplotlib;A/B тесты;SciPy;BigQuery;Английский язык;,Playgendary,Новосибирск,"Чем предстоит заниматься:  планировать и приоритизировать задачи команды; выстраивать эффективную коммуникацию с продюсерами, разработчиками и маркетологами; создавать и поддерживать дашборды и системы нотификаций; проводить исследования и находить инсайты в данных; проводить АБ-тесты: от гипотез и расчета параметров до оценки результатов и рекомендаций; работать в нескольких игровых жанрах (hyper-casual, casual, mid-core) с различными системами монетизации (ads, in-apps, subscriptions); анализировать поведение игроков в проекте; проводить интервью, менторить команду.  Ты нам подходишь, если у тебя есть:  опыт работы аналитиком от 3-х лет; опыт управления командой аналитики (тимлид, руководитель команды) от 1 года; опыт работы с большими объемами данных и аналитическими системами; отличное знание SQL; опыт анализа данных на Python (Pandas, Numpy + Scipy, Matplotlib и так далее); отличная математическая подготовка; технический английским язык.  Будет плюсом:  опыт применения машинного обучения для решения бизнес-задач; опыт работы в геймдеве; опыт работы с Tableau.  Почему у нас круто работать:  гибкий график, работа из любой точки мира или в наших просторных офисах: Минске, Санкт-Петербурге, Лимасоле; зарплата, привязанная к доллару и защищенная от валютных колебаний; оплачиваемые отпуска и больничные, а также 5 sick days в год; ДМС (в том числе и для родственников), оплата фитнеса, льготные условия на занятия английским языком и другие персональные подарки и бенефиты; корпоративная техника и необходимые для работы гаджеты; компенсация внешнего обучения и курсов, а также посещение профессиональных конференций; внутреннее обучение: круглые столы, лекции, воркшопы; активная корпоративная жизнь: квизы, спортивные марафоны, конкурсы, кибертурниры и многое другое. "
Frontend разработчик (Big Data),https://hh.ru/applicant/vacancy_response?vacancyId=45652302,2021-06-22T16:26:27+0300,False,,,,От 3 до 6 лет,Полный день,Frontend;JavaScript;Big Data;React;Redux;,МТС,Москва,"Big Data в МТС место, где телеком данные превращаются в реально работающие IT-продукты. Мы создали и протестировали несколько десятков сервисов. Самые успешные из них уже стали частью экосистемы МТС. Например, МТС Маркетолог, рекомендации в KION (МТС ТВ), услуга “Кто звонит?” или Спам blacklist. Кого мы ищем? Обязательно:  Уверенные знания JavaScript, понимание принципов прототип-ориентированного и объектно-ориентированного программирования; Опыт работы с одним из современных фреймворков (React+Redux, пр.); Знание как устроена и из чего состоит DOM, умение работать с DOM API напрямую без посредников; Хорошие навыки кроссбраузерной верстки, в том числе с использованием css-препроцессоров (LESS/SASS); Умение настраивать и работать с инструментами сборок (webpack, gulp, grunt); Умение писать и использовать тесты; Уверенное взаимодействие с системами контроля версий.  Что именно предстоит делать:  Участвовать в развитии продукта, самостоятельно выбирать технические решения поставленных задач; Создавать клиентскую части проектов с использованием самых современных frontend-технологий и фреймворков; Разрабатывать web-сервисы и интеграционные решения для внутренних проектов команды Big Data, а также внешних заказчиков; Разрабатывать в команде архитектуру проекта с непосредственным взаимодействием с backend / ETL разработчиками; Обеспечивать качество разрабатываемых проектов с помощью unit / e2e тестов; Выпускать регулярные релизы в соответствии с гибкими методологиями.  Сейчас мы ищем Frontend разработчика в проект:  Smart retail, подбор локаций под открытия новых торговых точек под малый и средний бизнес.  Что вы найдете в команде Big Data? Стек технологий:  данные храним в Hadoop, обрабатываем на Spark (Pyspark, Scala) и SQL разрабатываем на python3: R&amp;D делаем в Jupyter, продуктивизируем в PyCharm обучаем модели на отдельных мощных машинах с видеокартами Tesla V100 используем собственные разработки для скоринга больших данных и MLFlow для экспериментов храним код в gitlab, регулярные процессы запускаем через Airflow управляем задачами через Jira и Confluence  Команда: в команде Frontend разработчиков сейчас 10 человек (во всей Big Data МТС более 300 человек). Каждый фронтенд разработчик работает в своей продуктовой команде, в которой есть все роли: аналитики, DE, DS, разработчики, девопсы, менеджеры продукта. Но при этом происходит крос продуктовое код ревью, регулярные встречи и синки для обмена опытом. Условия: каждый месяц - аванс и зарплата, дважды в год - премия. ДМС + стоматология, корпоративная связь, специальные предложения от партнеров и друзей МТС, отпуск 31 день в год. Выдаем 16” MacBook Pro или Dell на выбор. Есть ли обучение?  Локальные и международные конференции, митапы. Корпоративный университет МТС и масштабная виртуальная библиотека. А ещё мы регулярно обмениваемся опытом на совместных синках с лидами экспертизы  Какой график? Удаленно, при желании можно приходить в офис. Сколько этапов при отборе? Не более трех:  HR + первое тех. интервью с лидом направления Тестовое задание/второе интервью - по необходимости Собеседование с PO и командой, выбор кандидатом проекта "
Senior Data Scientist (credit scoring model development),https://hh.ru/applicant/vacancy_response?vacancyId=45822163,2021-06-29T13:49:07+0300,False,4500,,USD,От 3 до 6 лет,Удаленная работа,Python;Machine Learning;Docker;Data Science;Английский язык;Big Data;,Coins.ph,Москва,"We are looking for a highly enthusiastic Data Scientist to join our growing data team. You will be responsible for the development, maintenance and continuous improvement of machine learning models. We actively seek individuals with an intrinsic interest in design and evaluation of field experiments at scale. The ideal candidate works well without supervision and is capable of both having independent thoughts and acting on them. WHAT YOU WILL DO  Design and develop machine learning heavy applications (for fraud prevention, credit scoring, customer segmentation, etc); Investigate and evaluate data science approaches for product enhancements; Discuss product improvements, technical possibilities and road maps.  WHAT WE OFFER  Work with Big Data; Cutting edge cloud based environment and tools: AWS, k8s, docker, Databricks spark, delta, mlflow; Non-trivial data science projects - anti-fraud, anti-money laundering, customers funds protection, credit scoring, customer segmentation; We value and cherish each team member, because everyone makes a difference and brings a great value to the business; Flexible schedule, fully remote work; Friendly geo distributed team of experienced professionals, who happily joined us after working in well-known IT/product companies and perspective startups; Customer-driven development: we don&#39;t develop features without listening to our customers, each step makes the product more convenient, useful, secure and reliable for our users; Professional growth: we invest time and money in your career by sponsoring IT conferences, courses and trainings; Paid medical insurance, coworking rental, technical equipment at choice and business trips to our Manila HQ; Ever-open offices in Manila and Bangkok, which you can visit at any time.  REQUIRED SKILLS AND EXPERIENCE  At least 5 years experience in building machine learning models including their deployment in production systems to drive real business impacts; Over 5 years experience of working on data projects which require data exploration, data manipulation and data visualization; Supervised &amp; unsupervised learning algorithms hands-on experience; Strong knowledge of Python data-science tools and libraries (eg Jupyter, pandas, NumPy, matplotlib/seaborn, scikit-learn and/or XGBoost/LightGBM/CatBoost).  GOOD TO HAVE  Anti-fraud data analysis and modelling experience; Credit scoring data analysis and modelling experience; Finance / crypto domain knowledge; Big data experience: Spark / Hadoop / Presto / etc; TensorFlow, Keras, PyTorch; Managed services on the cloud (AWS, GCP, Azure etc). "
Юрисконсульт по защите персональных данных (data privacy),https://hh.ru/applicant/vacancy_response?vacancyId=45673971,2021-06-23T12:05:43+0300,False,,,,От 3 до 6 лет,Полный день,Английский язык;Консультирование;Юридическая поддержка;Деловая коммуникация;Правовые системы;,ManpowerGroup,Москва,"ManpowerGroup и крупная международная компания в поисках Юриста по защите персональных данных и комплаенса: Обязанности:   Консультирование по вопросам конфиденциальности данных, соблюдения требований законодательства и деловых обязательств   Подготовка всех видов соглашений (включая утвержденные шаблоны)   Консультирование по коммерческим вопросам и переговоры с внешними сторонами   Контроль изменений в нормативно-правовой среде, в которой работает компания, консультация руководства и оказание юридической помощи в разработке стратегии компании   Юридическая поддержка по лицензиям, контрактам и коммуникациям по всем операциям   Обеспечение юридической экспертизой рекламных программ и материалов для обеспечения соответствия местным законам, нормативным актам, кодексам и стандартам компании   Реагирование на вызовы регулирующих органов/конкурентов в отношении сомнительных рекламных акций  Контроль соблюдения бизнес-стандартов в части комплаенса, работа с местными командами по разработке и внедрению соответствующих местных бизнес-стандартов и процедур  Требования:   Высшее юридическое образование   Опыт работы от 4 до 6 лет, предпочтительно в международных компаниях и/или в юридической фирме от 1 года  Свободное владение английским языком  Условия:  Офис в центре Москвы Конкурентная заработная плата, бонусная часть ДМС, страхование жизни Корпоративные ланчи, компенсация транспорта "
Data-scientist,https://hh.ru/applicant/vacancy_response?vacancyId=44653300,2021-06-29T20:09:30+0300,False,,,,От 3 до 6 лет,Полный день,RB;RTB;DSP;DMP;Pl/Python;API;DWH;BI;Работа с базами данных;Работа с большим объемом информации;Cистемы управления базами данных;Статистический анализ;clickhouse;SSP;Programmatic;,Hyper,Москва,"Hyper AdTech - крупнейшая в РФ programmatic-платформа по охвату аудитории в mobile.  Вам предстоит:  Написание новых приложений, скриптов и микросервисов и интеграция в основные продукты компании; Обработка входящих данных, выявление аномалий, создание отчетов, прогнозирование, инсайты; Развитие внутренних инструментов для работы с данными; Сбор и обработки данных из различных источников; Правильно анализировать и выводить данные; Сегментировать аудиторию, выявлять корреляции.  Требования:  Опыт поддержания инфраструктуры работы с данными и обеспечение качества данных; Знание и понимание алгоритмов машинного обучения, статистического анализа итп; Способность самостоятельно формулировать и проверять гипотезы; Опыт создания сегментов на основе поведения пользователей в реальном времени; Опыт создания моделей машинного обучения на больших объемах данных; Опыт обработки входящих данных, выявление аномалий, создание отчетов, прогнозирование, инсайты; Знание: БД, SQL, clickhouse, aerospike, matplotlib, numpy, pandas, scikit-learn и т.д; Знание одного из BI-инструментов: Power BI; Qlick, Tableau и.т.д.  Что мы предлагаем:  Среду для развития и неограниченные возможности для профессионального роста; Официальное трудоустройство по ТК РФ; Высокий уровень дохода; Полный ДМС включая стоматологию; Комфортный офис со всем необходимым (чай, кофе) График работы 5/2, с 10:00 до 19:00   "
"Master Data Specialist (направление ""Закупки"")",https://hh.ru/applicant/vacancy_response?vacancyId=45678365,2021-06-23T12:55:10+0300,False,,,,Нет опыта,Полный день,Английский язык;SAP;,JTI,Санкт-Петербург,"We’re JTI, Japan Tobacco International and we believe in freedom. We think that the possibilities are limitless when you’re free to choose. And we’ve spent the last 20 years innovating, creating new and better products for our consumers to choose from. But our business, isn’t just business. Our business is our people. Their talent. Their potential. We believe when they’re free to be themselves, grow, travel and develop, amazing things can happen for our business. That’s why our employees, from around the world, choose to be a part of JTI and why 9 out of 10 would recommend us to a friend. It’s the perfect moment for you to #JoinTheIdea. We’re opening our Global Business Service centre in downtown St. Petersburg (Petrogradskaya metro station) and looking for more than 150 bright minds to join a global multinational with an exciting start-up vibe. Our GBS center in St. Petersburg is one of the three global hubs which we open in Russia, Poland and Philippines with an objective to streamline our global operations and provide sophisticated consulting and analytics to our business across the globe. So when you’re ready to choose a career you’ll love, in a company you’ll love, feel free to #JoinTheIdea! Master Data Specialist - GBS, St.Petersburg What you will do  Check the completeness of requests, submitted by colleagues from different JTI markets (Master Data templates via Service Requests Tool (SRT) system). Properly and timely book received templates in SAP system in compliance with received requests and Policies &amp; Procedures;  Vendor Account Maintenance and Banking data in order to facilitate Procurement and Payment to Vendors;  Expertise data received from suppliers (bank country specific); Support SRT system as database administrator; Communicate with other departments; Perform any other tasks given by Team Lead / Process Lead; Take an active part in BSC initiatives.  We expect from you  Higher education (finance or technical); Upper-Intermediate English; Experienced PC user (MS Office) and data processing (Excel, SAP).  What&#39;s in it for you  Dynamic working environment; Team of highly motivated professionals; Wide development opportunities; Summer schedule, Flexible working hours; Work from home; Competitive compensation package; Modern eco-friendly office in the city center (Petrogradskaya metro station).  Please pay attention - this is temporary position"
Senior Data Scientist в NLP лабораторию,https://hh.ru/applicant/vacancy_response?vacancyId=45835658,2021-06-29T21:21:54+0300,False,,,,Более 6 лет,Полный день,Python;Data Science;Tensorflow;PyTorch;Pandas;NLP;,Контур,Москва,"Уже пять лет мы погружаемся в тему Machine Learning, два из них — развиваем наши продукты с помощью Data Science. С 2019 года мы запускаем отдельное направление — лаборатории Data Science для поддержки и развития научной базы. За это время отдел вырос до 40 + человек и представлен в разных ролях: Data Scientist, Data Engineer, Data Analyst, Project Manager, DevOps, QA. Мы ищем коллегу на исследовательскую позицию. Работа будет разнообразной — от проведения исследований до передачи знаний в прикладные команды и публикации статей. Чем вам предстоит заниматься?   Структурировать NLP задачи в прикладных командах Data Science Контура;   Проверять State Of The Art алгоритмов на данных и задачах компании;   Разрабатывать и поддерживать Best Practices;   Помогать прикладным командам в имплементации решений;   Писать статьи.   Наши ожидания от кандидата:   Понимание архитектур нейронных сетей, их слоев, модулей, loss-функций: RNN, CNN, Transformer, BERT;   Transfer learning в NLP, distance metric learning;   Знание основных фреймворков для построения сетей на уверенном рабочем уровне: Tensorflow, PyTorch, Keras;   Знание лингвистических подходов и NLP библиотек: NLTK, DeepPavlov, Fasttext;   Знание современных подходов и библиотек для быстрого поиска в векторном пространстве: HNSW, LSH, nmslib, faiss;   Хорошее знание Python и основных библиотек анализа данных: Pandas, Matplotlib, Numpy, Scipy, Sklearn;   Знание математической статистики, линейной алгебры и матанализа;   Знание английского на хорошем техническом уровне;   Умение и желание быстро разбираться в актуальных научных статьях по NLP;   3+ года опыта в области NLP.   Что мы готовы предложить?   Работу в команде DS-специалистов над проектами из разных сфер бизнеса;   DS Community. Мы поддерживаем сообщество ODS и создаем свой meetup и ML тренировки на Урале;   Поездки на IT-конференции, митапы , учебные курсы за счет компании, в том числе спикером;   Уровень заработной платы, который зависит от ваших технических знаний и навыков;   Мощный комп (i7, два монитора)/MacBook Pro /HP/ Lenovo;   Гибкий график работы;   Расширенный соцпакет: добровольное медицинское страхование, компенсацию стоимости обедов, подарки детям на праздники;   Корпоративные мероприятия (Новый год, летний праздник — мы даже свой мюзикл делали), командные выезды и движухи;   Мы умеем работать в команде, находясь в разных городах: Екатеринбург, Санкт-Петербург, Иннополис, Новосибирск, Москва — и готовы к распределенной разработке.    "
Data Center SAP Basis Manager,https://hh.ru/applicant/vacancy_response?vacancyId=44951437,2021-06-22T13:01:06+0300,False,,,,Более 6 лет,Полный день,SAP;SAP Project;SAP ERP;Project management;SAP Architecture;,JTI,Санкт-Петербург,"The Data Center SAP Basis Manager will be working within The Data Center Technical Integration pillar that is responsible for successful integration of both business driven and technical projects into JTI&#39;s technical landscape, to support core enterprise systems such as SAP, TME, Leaf ERP &amp; PLM or functional related applications.   The Data Center SAP Basis Manager will coordinate SAP Technical Workstreams for JTI SAP Technical Projects. He or She will provide guidance and coordination for assigned technical projects within SAP technologies (both on-premise and cloud solutions), responsible for the ‘Basis’ components &amp; processes of JTI’s SAP landscape involved on the project. Collaborate with JTI&#39;s IT teams and third parties to coordinate, oversee and provide information support for all project activities as a Project Leader. In addition to this, Data Center SAP Basis Manager will be involved in activities related to technical SAP architecture.   Specifically, responsibilities include:     Gather required information for creation, analysis and support processing of change requests related to required technical infrastructure for SAP projects. Work closely with the Technical Integration and Technical Architecture teams to deliver optimal solutions in a timely fashion. Contribute to operational excellence by working in close collaboration with the Service Delivery team in supervising system operations. Adhere to best practices and strive to optimize and improve current processes. Act as SAP technical point of contact for major incidents. Support Operations SAP provider in the execution of their activities. Shadow Internal JTI Data Center Basis project managers in projects opened in the team when required Collaborate in the project opened for normalize DC Basis implementations by rebuild documentation and create new operations procedures following JTI operations policies. Collaborate in Data Center Basis improvements identified. Coordinate SAP basis activities with JTI projects provider following agreements achieved in the different projects. Adhere with IT policies &amp; processes. Ensure that all systems comply with JTI Global policies, execute &amp; validate JSOX controls for Global SAP systems.    Requirements:    University degree preferably in the IT area. Fluent English 10+ years’ experience in Information Technology 5+ years’ experience in coordinating large scale projects and change management SAP Basis practical knowledge Extensive experience and knowledge of Data Center technologies, application solutions, and 3rd party’s environment. Experience in SAP Project management and landscape definition. Excellent communication skills. Ability to work autonomously and independently with remote teams   "
Technical Product Manager (Data Science),https://hh.ru/applicant/vacancy_response?vacancyId=44362781,2021-06-30T16:37:46+0300,False,,,,От 3 до 6 лет,Удаленная работа,,Мастер Деливери,Москва,"Мы Master Delivery стремительно и устойчиво растущая на российском и зарубежных рынках компания, наш продукт - логистическая франшиза для last-mile delivery на базе цифрового AI решения. Сейчас мы активно развиваем направление Data Science. Основные задачи:  Лидировать направление алгоритмов и анализа данных; Исследовать и применять новые технологии Data Science; Организовывать сбор внутренних и внешних данных; Управлять командой Data, Data Science инженеров и разработчиками; Формировать и проверять гипотезы, внедрять результаты в бизнес-процессы.  У тебя:  Техническое образование и/или аналитический склад ума; Опыт работы в проектах с применением Data Science; Умение самостоятельно анализировать данные, метрики и делать на их основе выводы; Опыт управления командой.  Будет плюсом:  Опыт работы в логистике; Опыт выстраивания процессов с нуля.  Как мы работаем:  По ТК, с первого рабочего дня; С официальной &quot;белой&quot; заработной платой (отличный фикс + ежеквартальные премии); Удалённо (в офис нужно приезжать только 2-3 раза в месяц, по потребности); ДМС после успешного прохождения испытательного срока (3 месяца); Оборудуем рабочее место в соответствие с пожеланиями (mac, linux, второй монитор и т.д.); Оплатим профильное обучение, конференцию или митап. "
Руководитель направления по управлению НСИ / Master Data Management Lead,https://hh.ru/applicant/vacancy_response?vacancyId=45619445,2021-06-21T17:59:31+0300,False,,,,Более 6 лет,Полный день,SAP;Data Management;,Salym Petroleum Development,Москва,"Управление информационных технологий московского подразделения нефтедобывающей компании Salym Petroleum Development находится в поиске кандидата на позицию Руководитель направления по управлению НСИ Обязанности:  Участвует в проекте по реинжинирингу бизнес-процессов и переходу на новое решение SAP в части нормативно-справочной информации После окончания проекта отвечает за развитие процессов и решения по управлению НСИ Организовывает и координирует работы по созданию в компании единой службы НСИ Выполняет сбор и систематизацию информации об основных справочниках, их атрибутном составе Взаимодействует с архитектором приложений в части интеграции инструментов ведения справочников в ИТ-решения Выполняет работу по подготовке данных для загрузки (консолидация и нормализация данных) в справочники системы управление НСИ  Требования:  Высшее техническое или экономическое образование со специализацией в области информационных технологий, автоматизированных систем управления или системного анализа; Опыт работы в службе ведения НСИ не менее 3 лет, что выражается в:  Понимании подхода к развитию (формированию) системы ведения НСИ в организации Знании процессов (AS IS) ведения справочника материалов (ТМЦ, оборудования), справочника деловых партнеров и сопутствующих справочников Знании требований со стороны бизнес-процессов к контенту основных данных и справочников   Представлять основы реализации процессов интеграции данных справочников для обеспечения требования централизованного ведения справочников Иметь представление об архитектуре приложений SAP ECC, S/4 HANA; Навыки пользователя системы SAP Опыт работы и внедрения решений SAP MDG / SAP NetWeaver MDM, является преимуществом Навыки коммуникации, способность создать рабочую атмосферу в команде, быстро наладить взаимодействие с ключевыми людьми в подразделениях Ориентация на результат, способность правильно расставить приоритеты Английский язык на уровне Intermediate  Условия:  Работа в совместном предприятии - Shell и Газпромнефть - возможность приобретения лучшего российского и международного опыта Принципы работы компании ориентированы на безопасность и социальную ответственность; политика &quot;открытых дверей&quot; - открытый диалог сотрудника и руководителя любого уровня, основные принципы компании - уважение, доверие и честность Оформление по ТК РФ Социальная программа для сотрудников и членов семьи. "
