vacancy,url,created,has_test,salary_from,salary_to,currency,experience,schedule,skills,employer,area,description
Backend/Full-stack developer (python),https://hh.ru/applicant/vacancy_response?vacancyId=45972293,2021-08-01T13:02:48+0300,False,120000,,RUR,От 1 года до 3 лет,Гибкий график,Python;PostgreSQL;Linux;Flask;,ATI.SU,Санкт-Петербург,"Привет! Мы ATI.SU ― крупнейшая в России компания-сервис для грузоперевозок. Мы помогаем грузоотправителям и перевозчикам найти друг друга, договориться, оформить документы, рассчитать маршрут, справляясь с нагрузкой в сотни тысяч запросов для десятков тысяч пользователей. Несмотря на лидирующие позиции в своем секторе и довольно богатую историю, в компании до сих пор витает дух стартапа - новые проекты и фичи разрождаются пачками, а отсутствие сложных регламентов и формальностей позволяет сконцентрироваться на их реализации. О команде и проектах Наша команда (а это 6 разрабов, 3 тестера и продакт) ищет человека, который разделяет наш здоровый перфекционизм к процессу разработки, и слова «ну, и так сойдет» не про него. Прими участие в разработке продуктов команды, а это:   Система электронного документооборота. Сейчас это простой инструмент обмена и подписи документов интегрированный с основной экосистемой, но в скором времени предстоит решить много интересных задач связанных с электронной подписью, организацией хранения и т.д.   Мессенджер с поддержкой групповых чатов и множеством функциональных интеграций. В планах серьезная модификация бэкенда и новые фичи.   Файловое хранилище. Сервис для работы с файлами, использующимися в разных частях сайта: аватарки, превьюшки, документы и т.д.   И это только начало, тебя ждет целый ворох более простых интеграционных проектов, некоторые из которых родились на хакатонах или просто так по фану, потому что можем. Мы постоянно учимся новому и стараемся быть независимыми в плане технологий и инструментов, поэтому самостоятельно поддерживаем и улучшаем инфраструктуру, пишем автотесты, собираем метрики, изучаем новые инструменты и подходы. Спектр задач довольно широкий и что самое главное - почти всегда есть выбор. Требования   Близкое знакомство с unix-based ОС;   Уверенное владение python (3.6+) и базовыми фреймворками;   Навык проектирования и разработки бэкенда;   Понимание принципов REST;   Стремление писать поддерживаемый код.   Будет круто, если ты:   Время от времени практикуешь TDD;   Владеешь современными js-фреймворками с пониманием их архитектуры;   Знаком с механизмом цифровой подписи, есть опыт работы с криптографическими пакетами;   Имеешь репозитории на github/bitbucket;   Участвовал в разработке open-source проектов;   Готов иногда делать фронтенд.   Технический стэк:   OS - Ubuntu 14.04/16.04/18.04   Backend - python, flask, falcon   Frontend - js, webpack, react, redux   Storage - riak, elasticsearch, postgreSQL, redis   CI/CD - docker, gitlab-ci, ansible   Queues - rabbitMQ, celery   Monitoring - sentry, graylog, prometheus, grafana   Analytics - yandex.metrika, amplitude   Other - nginx, openssl, consul, swagger, selenium   Почему стоит прийти к нам:   Белую заработную плату и официальное оформление по ТК РФ, само собой;   Гибкий график и возможность периодически работать удаленно;   Поездки на профильные конференции;   Компенсацию занятий спортом и изучения иностранных языков;   ДМС со стоматологией;   Шикарный офис на берегу Невы (с видом на Неву сквозь панорамные окна);   Вкуснейшие обеды и другую вкусноту в офисе;   Корпоративные хакатоны для реализации самых безумных идей;   Регулярные образовательные мероприятия: митапы, курсы, лекции итд;   Вознаграждение за улучшения, приносимые рабочим процессам в свободное время.  "
Бэкенд-разработчик (Python) / Middle Python / Python Developer (Remote),https://hh.ru/applicant/vacancy_response?vacancyId=46106059,2021-07-09T08:13:01+0300,False,150000,220000,RUR,От 3 до 6 лет,Удаленная работа,Python;Git;MongoDB;Redis;Design Patterns;Flask;,"ЮТэйр, Авиакомпания",Киров (Кировская область),"Utair - российская авиакомпания. Мы летаем по 150 направлениям и перевозим ежегодно около 8 млн человек, более 60 из которых доступны только нашим пассажирам. Мы занимаемся разработкой собственных коммерческих сервисов и создаем высоконагруженные проекты, которыми пользуются наши клиенты. Придерживаемся методик CI/CD и меряем наши успехи. Обязанности:   Работать над улучшением коммерческих сервисов авиакомпании;     Разрабатывать и проектировать отказоустойчивое и высокопроизводительное программное обеспечение, которое легко поддерживать, сопровождать;   Оценивать тех. долг и планировать рефакторинг;   Участвовать в планировании спринтов. Повышать качественные метрики команды;   Наши глобальные цели — 99% uptime, и быстрая поставка в бой сервисов с минимальными затратами на разработку (сокращение time to market).     Требования:   не менее 2 -х лет разработки на python;   навыки работы с системами мониторинга;   желателен опыт проектирования HA/HL систем;   понимание основных принципов разработки ПО, automation systems, unit tests   хорошее знание:   python3   asyncio   shell   git     flask   FastApi   celery   mongodb   kafka     redis   design patterns     Условия:   место работы - удаленно, или в офисе: Москва, Краснодар, Тюмень, Сургут;     график работы - пятидневная рабочая неделя (на связи с 10 до 17.00 МСК, 8 часов в день);   заработная плата - договорная, выплачивается 2 раза в месяц;   льготы для сотрудников и членов семьи на авиаперелеты;   возможны непродолжительные командировки (не более недели);   оплачиваемые больничные и отпуска;   возможность участия в реферальной программе по поиску данного специалиста (за выход на работу Бэкенд - разработчика (Python) в отдел проектирования и разработки вознаграждение 140 000 рублей).   Для участия в реферальной программе необходимо написать в адрес ПАО «Авиакомпания «ЮТэйр» на электронную почту, указанную в контактной информации, и мы свяжемся с вами.  "
Fullstack Middle Python (Django) / VueJS Dev,https://hh.ru/applicant/vacancy_response?vacancyId=46420292,2021-07-21T15:24:16+0300,False,,,,От 1 года до 3 лет,Полный день,Python;Git;Django Framework;PostgreSQL;Linux;Vue.js;,КРОК,Москва,"В команду, которая занимается разработкой инструментов построения pipeline или, по-простому, выполнения пакетных задач (batch jobs) для биоинформатиков мы ищем рython-разработчика. Помимо этого, предполагается продолжение разработки существующей лабораторно-информационной системы на уровне frontend&#39;a и backend&#39;a. МЫ ИЩЕМ ИМЕННО ТЕБЯ, ЕСЛИ ТВОЙ ПРОФИЛЬ СООТВЕТСТВУЕТ ЭТИМ ТРЕБОВАНИЯМ:  Опыт разработки на Python: Django, Django Rest Framework, Django Channels Работа с PostgreSQL, Docker, Celery, Redis, Kafka/RabbitMQ Опыт разработки на VueJS, возможны исключения если есть опыт на React и желание перейти на VueJS Использование Server-Side Rendering Опыт работы с Git (по Git Flow в команде) Высшее техническое образование Креативный подход к решению бизнес-задач, готовность использовать новые инструменты, методы и лучшие практики  ТВОИ КОНКУРЕНТНЫЕ ПРЕИМУЩЕСТВА:  Использование Agile в реализации проектов Взаимодействие со смежными командами: аналитиками, дизайнерами, тестерами Имеешь широкое представление в области применения цифровых технологий, в том числе в отдельных отраслях  МЫ ГОРДИМСЯ ПРОЕКТАМИ, КОТОРЫЕ РЕАЛИЗУЕМ:  Помогаем одному из крупнейших российских банков развивать цифровую экосистему и запускать новые продукты Создаем цифровую платформу «под ключ» для реализации одного из национальных проектов - от концепции до запуска и технической поддержки Внедряем персональные носимые устройства и мобильные приложения для решения производственных задач – защищенные корпоративные мессенджеры, таск-менеджеры, чат-боты и роботы помогают переводить бизнес-процессы в мобильный формат Сокращаем сроки создания и выпуска продуктов в разы за счет применения гибких методов, итеративной разработки  ЧТО МЫ ПРЕДЛАГАЕМ:  Заработная плата по результатам собеседования + премии по итогам работы; Профессиональное обучение и сертификация за счёт компании; Работа в дружной команде разработчиков, аналитиков, дизайнеров, тестировщиков, внедренцев и менеджеров; Есть возможность работать удаленно; Социальный пакет: медицинская страховка, возможность изучения иностранного языка, фитнес;  Данное описание вакансии не является офертой."
Python Developer,https://hh.ru/applicant/vacancy_response?vacancyId=46593145,2021-07-28T12:57:57+0300,False,,,,От 3 до 6 лет,Удаленная работа,Python;Django Framework;CSS;,Mad Devs,Краснодар,"Mad Devs - full stack команда для разработки и администрирования крупных IT продуктов в сфере FinTech, E-commerce и EdTech. Большая часть продуктов, которые мы делаем, работают в Великобритании, США и странах Юго-Восточной Азии. Изучить подробнее проекты, над которыми мы работаем, можно на сайте. Мы делаем WEB cервис США для поиска подрядчиков в разработке. Проект в сфере b2b – активно развивающийся продукт с широкой пользовательской базой. Штаб квартира находится в Вашингтоне.Сейчас в команде 20 человек, в основном США, Польша и наша распределенная команда. Команда работает по времени МСК, есть митинги с Вашингтоном. Мы со своей стороны помогаем распиливать большой монолит на Drupal на микросервисы на Python, Внутренняя API на gRPC и внешняя на Rest. Деплоим все это в k8s. Ищем на удаленку Python, Django разработчика на Full time который поможет нам развивать продукт. Наши ожидания:   Опыт 3+ лет на Python;   Опыт в разработке проектов в продакшне;   OOP/SOLID/TDD;   AWS будет плюсом;   Опыт оптимизации перформанса в продакшне;   Что мы предлагаем:   Официальное трудоустройство, юридическая помощь при оформлении сотрудничества, конкурентная заработная плата, ставка с привязкой к курсу доллара (или выплата в долларах), гибкая форма оплаты труда;   Экспертную команду разработки. У руководства компании инженерное образование. Мы регулярно проводим инженерные синки, где обсуждаем сложности, с которыми сталкиваемся в процессе работы, и технологические новинки;   Возможность как удаленной работы, так и в офисах Mad Devs и наших клиентов. Командировки за счет компании;   Возможность обучаться за счет компании: курсы, электронная библиотека, участие и выступление на конференциях. Мы сами регулярно делаем доклады на таких конференциях как FOSDEM, TeamLeadConf, GolanfConf, GDG DevFests и другие, поэтому поможем с подготовкой доклада;   Возможность пробовать новые технологии и исследовать новые области экспертизы. У нас множество пет проектов, в которые можно внести свой влкад или создать совершенно новый свой.   Возможность делиться знаниями и экспертизой с коммьюнити. Маркетинговый отдел поможет написать статью в блог, сделает репост по релевантным площадкам или поможет с участием в слаконаре от Hexlet. Пример - тут. А еще может помочь с переводом ваших статей на английский. Это прокачает вас, как специалиста, в медийном пространстве;  "
QA Automation (Python),https://hh.ru/applicant/vacancy_response?vacancyId=45905528,2021-07-31T17:10:49+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Python;Pytest;Ansible;Selenium;,Аренадата Софтвер,Москва,"Arenadata — динамично развивающаяся компания, являющаяся лидером рынка построения платформ данных. Являемся контрибьютором open-source проектов Kafka, Clickhouse, Hadoop, Greenplum и других. Сегодня нас уже выбрали в качестве стандарта для построения корпоративной платформы данных крупнейшие российские компании. Мы продолжаем расти, и поэтому ищем в свою команду людей, разделяющих нашу страсть к современным open-source data-сервисам. Сейчас мы активно ищем QA Automation Engineer в команду Python QA. Команда QA (Python) отвечают за:   Разработку автотестов на Python + Pytest для широкого спектра продуктов:   От классических Web-приложений (Django + Angular)   До комплексных систем автоматического развертывания и обслуживания Баз данных     Развитие фреймворка для тестирования продуктов компании (https://store.arenadata.io/)     Нагрузочное тестирование продуктов Arenadata    Тебе к нам, если ты имеешь:   Опыт работы с тестовыми фреймворками (Pytest/unittest), готовы так же рассмотреть кандидатов с опытом Java (junit/testng/serenity)    Опыт автоматизации тестирования в рамках команды автотестирования;   Технический английский (для ведения задач, чтения и написания документации);   Опыт работы с Unix системами и готовность использовать Linux для разработки;   Docker: понимание принципов работы, практический опыт создания dockerfile и управления контейнерами;   Будет плюсом опыт тестирования интеграционных и многокомпонентных систем.   Мы провели опрос среди наших сотрудников, о том что им нравится в компании:   Возможность профессионального развития (рост экспертизы).   Возможность работать 100% удаленно или в офисе (на выбор офисы в Москве, Санкт-Петербурге и Ростове-на-Дону), гибкий график.   Открытая, доброжелательная команда, где к тебе относятся с уважением и ценят.   Официальное трудоустройство по ТК РФ с белой зарплатой.   Демократичный стиль коммуникаций (без формализма и жёсткой иерархии).   Причастность к OpenSource, мы создаем продукты.   Возможность участия в крупнейших российских и международных ИТ-конференциях, сертификация за счет компании.   Обеспечение техникой для работы (ноутбук, монитор).   ДМС (со стоматологией).   Корпоративный английский.   Полная оплата больничного до уровня месячного дохода, независимо от стажа и срока работы в компании.    "
Data Engineer / Python Developer,https://hh.ru/applicant/vacancy_response?vacancyId=46598906,2021-07-28T14:58:53+0300,False,,,,От 1 года до 3 лет,Полный день,,Devim,Санкт-Петербург,"Привет! На связи Devim. Для начала – немного о нас Мы – продуктовая it-компания: работаем на конечного потребителя, у нас нет заказчиков и никто не говорит нам, что делать. Всё решает рынок. Иногда мы помогаем ему в принятии решений. В финтехе мы уже больше 7 лет: разрабатываем финансовые сервисы и цифровые платформы любой сложности, системы интернет-банкинга и мобильные приложения с нуля, совмещаем разработку и интеграцию, внедряем CRM и создаём SaaS-решения. Devim – это про финтех, свободу и непрерывное развитие. Сейчас мы ищем Data Engineer или Python developer с опытом в Apache Airflow, который будет участвовать в построении инфраструктуры для работы с данными с нуля и работать бок о бок с data scientist-ами. Наша команда Data Science занимается задачами кредитного скоринга, верификации, методами обнаружения мошенничества, разработкой моделей сегментирования трафика, мониторингом показателей портфеля заемщиков. Задачи, которые тебя ждут:  Проектирование и создание DWH  Разработка и поддержка ETL процессов   Интеграция со сторонними сервисами через API   Обеспечение процессов тестирования качества данных   Изучение и интеграция зоопарка баз источников (SQL Server, PostgreSQL, InfluxDB)   Применение умеренного насилия для получения нужных данных и ресурсов   Подготовка данных для data science   Мы отлично друг другу подходим, если у тебя есть:   Более 2-х лет опыта работы с данными, в качестве data engineer или backend разработчика   Понимание принципов построения DWH   Умение создавать с нуля, обмазывать метриками и поддерживать data-pipeline   Опыт работы с ETL-инструментами   Уверенные знания при работе с реляционными и не реляционными БД   Знание python, sql, git   Умение слышать бизнес-заказчика и предлагать оптимальное решение   И еще лучше, если был опыт:   Работы с GCP или AWS стеком   Разработки на python   Работы в fintech и банках   Вывода моделей в прод   Предлагаем со своей стороны:  Команду из хороших, дружелюбных и профессиональных троллей.  Белую конкурентную зарплату – оформляем сотрудников по ТК РФ и готовы отталкиваться от ожиданий кандидатов.   Гибкий подход к рабочему графику – наш современный, уютный офис с соковыжималкой, массажным креслом и прочими плюшками находится в 10 минутах ходьбы от ст. м. «Старая деревня».   Интересные задачи и возможность прокачать квалификацию – у нас продуктовая компания и сеньорная команда, а это значит: динамичные процессы, отсутствие бюрократии, профессиональные вызовы.   Поддержку в стремлении к развитию: по запросу отправляем на профессиональные конференции и тренинги, делимся опытом и радуемся достижениям.   Культуру открытости, прозрачности и здравого смысла – у нас нет формализма, есть драйв, адекватные коллеги, с которыми приятно проводить время и воплощать в жизнь крутые проекты.   Адекватное и технически грамотное руководство и неформальное обсуждение задач.   Корпоративный английский для прокачивания скиллов, компенсацию занятий спортом и прочие бенефиты.   Если ты хочешь:   Всё делать осмысленно.   Расти над собой.   Учиться на своих ошибках.   Учиться на чужих ошибках.   Много работать.   Много зарабатывать.   Всегда оставаться человеком.   Тебе к нам!  "
Python developer,https://hh.ru/applicant/vacancy_response?vacancyId=46158037,2021-07-12T12:18:41+0300,False,,,,Нет опыта,Полный день,Python;Django Framework;PostgreSQL;Linux;,Factory5,Казань,"О компании. Factory5 (группа Ctrl2GO) — разработчик платформенных решений на базе AI-продуктов для промышленных компаний. В основе продуктов компании Factory5 лежат технологии искусственного интеллекта, нейронных сетей и методы машинного обучения. Что ждем от разработчика: техническую экспертизу, круто если есть архитектурный бэкграунд и/или желание в этом направлении прокачиваться. Стратегическая задача - развивать платформу по анализу данных для интегратора. Нужно строить систему так, чтобы на основе платформы, которую разрабатываем, была возможность кастомизировать или заменять отдельные сервисы. Стек Python, Django, PostgreSQL, Celery, Redis. Основное с чем надо будет иметь дело - это дата-инженерия, дата-флоу. Работа с Clickhouse, kafka, S3. Основной язык - Python(django, drf). Сейчас, засчет микросервисной структуры, есть развитие в направлении других языков (go, scala). Взаимодействие c фронтом через API и сокеты. Фронт на react. Что будем делать:  Разрабатывать сервисы обработки «больших данных» (ETL, Rule Engine, Math Engine, Pipeline Manager) Разрабатывать API взаимодействия с клиентской частью приложения Участвовать в оптимизации и качественном улучшении кода Проводить ревью кода Писать тесты  Что предлагаем:  Возможность прокачаться, решая сложные задачи. А они у нас реально непростые. Команда классная, заряженная. Процессы настроены. Культура демократичная. Корпоративы, спортивные мероприятия организуем и участвуем. Офис в Москве (м. Шаболовская), Казань (Площадь Тукая), либо 100% удаленка. Учимся сами: регулярные тренинги внутри компании, участие и выступления на конференциях, финансируем/софинансируем твоё развитие. Книги - бесплатно. Корпоративная скидка в SkyEng ДМС со стоматологией или фитнес на выбор. "
Ведущий Python разработчик,https://hh.ru/applicant/vacancy_response?vacancyId=46030221,2021-07-06T23:46:27+0300,False,200000,350000,RUR,Более 6 лет,Полный день,Python;Node.js;HTTP;Git;TCP/IP;JavaScript;PHP;C++;React.js;,ODDSCORP,Москва,"Мы - команда проекта ODDSCORP, небольшая группа full-stack разработчиков. 4.5 года назад мы начали автоматизировать ставки на спорт. За это время мы сделали более 8 млн. ставок своими ботами, и продолжаем делать от 10 до 40 тыс. ставок ежедневно. (Да-да, мы действительно переигрываем букмекеров, и ты сможешь в этом напрямую поучаствовать) Помимо этого, мы вывели на рынок B2B продукт, качество которого превосходит многих конкурентов.Он представляет из себя агрегатор данных (букмекерских коэффициентов) с крайне высокой частотой обновления.В среднем, данные обновляются у нас через 0.4 сек после их обновления на сайте-источнике. Также, у нас есть B2С продукт, о котором слышим крайне положительные отзывы от конечных пользователей, аналогов которому на сегодня нет.Он помогает рядовым игрокам букмекерских контор находить наилучшие коэффициенты для своих ставок в реальном времени в самой удобной форме. Если ты опытный и адекватный, любишь решать нестандартные и сложные задачи, умеешь планировать и соблюдать сроки - будем рады видеть тебя в нашей команде.   Задачи:  Разрабатывать парсеры новых источников данных; Оптимизировать скорость и качество работы уже работающих парсеров, разработанных на Python (95%) и Node.js (5%);  Проводить ревью кода и управлять своей командой разработки (7 человек).     Технические навыки: Необходимо уверенное владение:  Python (в т.ч. знания ООП, декораторов, перегрузки операторов и прочих основных особенностей языка); JavaScript - чтобы без труда уметь разобраться в js-движке на любом крупном сайте; Работа с Git; SQL / NoSQL базы данных; Linux.  Глубокое понимание:  Механизмов парсинга данных (Знание различных паттернов проектирования, в частности: прокси и д.р. Умение применять их и оптимизировать); Работы с TCP-протоколом на низком уровне; http и websocket протокола; Распараллеливания задач (threading, multiprocessing, subprocess, asyncio, aiohhtp) и работы с очередями.    Будет плюсом:  Опыт разработки парсеров на Node.js; Знания С++ и PHP (для работы с нашей базой данных) Опыт использования React; Покрытие своего кода тестами; Опыт оптимизации времени исполнения кода; Опыт взаимодействия с Chrome Extensions API.  А также для нас крайне важно:  Умение работать в команде; Умение самостоятельно организовывать свой рабочий процесс; Дисциплина и порядок (в коде, в рабочих чатах, в голове); Умение брать на себя ответственность и инициативность.    Условия:  Рабочее место на Маяковской (сначала удаленка 2 месяца); Комфортный офис с поваром и массажистом; Свободный график; Испытательный срок 2 месяца; ЗП от 200 000 ₽ до 350 000 ₽ на руки + бонусы по результатам работы.Пожалуйста, напишите сопроводительное письмо и расскажите, почему хотите присоединиться к нашей команде. Мы не будем рассматривать шаблонные ответы и отклики без письма. "
Разработчик Python,https://hh.ru/applicant/vacancy_response?vacancyId=42905077,2021-07-27T09:59:22+0300,False,90000,180000,RUR,От 1 года до 3 лет,Гибкий график,Python;MySQL;Базы данных;SQL;Linux;Django Framework;Flask;,The Head,Екатеринбург,"19 лет The Head создает и развивает IT-инфраструктуру крупнейших компаний в РФ и за рубежом. Среди наших клиентов: М.Видео/Эльдорадо, Тинькофф, Спортмастер, Брусника, Принцип и многие другие. Мы разрабатываем веб-приложения, мобильные приложения, внутренние системы компаний, сайты, интернет-магазины и интеграции между всеми ними. Наш бренд объединяет лучших специалистов рынка, имеющих большой опыт в разработке интернет-решений, а главное - мыслящие свободно и нестандартно. Что нужно будет делать:   Участие в разработке больших, сложных и интересных интернет-проектов - наши клиенты крупнейшие российские и иностранные компании: М.Видео, Спортмастер, аптечная сеть Ригла, Сеть 585 и другие   Интеграция корпоративных систем с различными API и сервисами  Поддержка и развитие существующих проектов (разработка и внедрение новой функциональности) Оптимизация производительности систем под высокие нагрузки  Требования:   Владение Python 3, понимание современных подходов к разработке   Опыт работы с MySQL или MariaDB, понимание реляционной модели баз данных   Аккуратный, прозрачный код   Желание развиваться и пробовать что-то новое.   У нас:  работа в команде профессионалов гибкий график полное соблюдение трудового законодательства РФ, оплачиваемые отпуска и больничные листы &quot;белая&quot; заработная плата работа по agile частично оплачиваемое питание кофе, чай, кола, сок в офисе ДМС, включая стоматологию корпоративные мероприятия и спортивные инициативы корпоративное обучение. "
Python developer with AWS expertise,https://hh.ru/applicant/vacancy_response?vacancyId=44778866,2021-07-13T11:06:01+0300,False,,,,Более 6 лет,Гибкий график,Python;Cloud technologies;AWS;SaaS;Git;Jenkins;Docker;Kubernetes;,Deutsche Telekom IT Solutions (ex.T-Systems),Санкт-Петербург,"Telekom IT is an integral part of Deutsche Telekom. With 9,500 IT specialists in seven countries, we simplify, digitize and accelerate the processes in our large corporation. In a time of technological change, our focus is moving from internal services to a cloud-based infrastructure. Agile spirit of a start-up and established professionalism of a DAX-30 company - not possible? Go then! We are breaking up old structures. With its IT applications, the PK² digital hub is responsible for personalized customer dialogue in Deutsche Telekom&#39;s private customer market. As Deutsche Telekom IT GmbH, we are looking for a new software engineer in the field of campaign management for the digital hub of personalized customer dialogue. The aim of the Personalized Customer Dialogue (PK²) hub is to transfer Deutsche Telekom&#39;s existing classic campaign management to a multichannel-based and real-time campaign management system. This should enable Telekom customers to receive a personalized offer in real time across all channels. This should be done in particular using the latest technologies and methods such as cloud, CDP and OPE tools, AI and agile software development, Safe, SaaS, DevOps. Tour task:   You will take on the clarification of requirements and develop concepts and framework specifications for adapting the software for complex products and services. Сarry out the corresponding programming work (coding) and take on the installation and configuration of the software for complex products and services Сreate and maintain software documentation Take on the conception and definition of system tests and test automation and support team members during error analysis through to error elimination You will also take on the technical last level support for other teams for the systems and services managed and manage complex projects  We are expecting from you:  Expert knowledge in the Python, SQL Expert knowledge in cloud technologies, esp. AWS; e.g. DynamoDB, Lambda, Glue, API Gateway, S3 Expert knowledge in technology and methods: SaaS (microservices) Change management and configuration management, build tools: Git, Jenkins, Gitlab CI, Docker, Kubernetes, Maven English skills, spoken and written. German will be your plus Very good experience in classic and agile forms of cooperation "
