vacancy,url,created,has_test,salary_from,salary_to,currency,experience,schedule,skills,employer,area,description
Middle Machine Learning Engineer,https://hh.ru/applicant/vacancy_response?vacancyId=45369101,2021-07-09T11:32:05+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Python;Machine Learning;Spark;AWS;Английский язык;NLP;,Provectus,Санкт-Петербург,"At Provectus, we are obsessed with technologies that impact the future of the whole of humanity. Just imagine: AI for curing eye diseases, ML for making factories safe for workers, preventing pandemic spreading, etc. It’s not about the future, it’s about the products we’ve already developed with #ProvectusTeam. Join us if you have the same passion for making products using AI/ML technologies, cloud services, and data engineering. Join us if you value a friendly corporate environment, and almost a family-driven approach to every employee. Join us if you want to grow professionally and ready for learning new things constantly.   As a Machine Learning Engineer, you’ll be provided with all opportunities for development and growth.   Responsibilities:  Create ML models from scratch or improve existing models Collaborate with the engineering team, data scientists and product managers to productionize models Develop experimentation roadmap Setup reproducible experimentation environment and implement experimentation pipelines  Requirements:  Comfortable with standard ML algorithms and underlying math Practical experience with solving classification and regression tasks in general, feature engineering Practical experience with one or more use cases from the following: NLP, Computer Vision, Forecasting Solid software engineering skills (i.e., ability to produce well-structured modules, not only notebook scripts) Python expertise, Docker English level - strong intermediate  Strong plus:  Practical experience with ML models in production Practical experience with cloud platforms (AWS stack is preferred, e.g. Amazon SageMaker, ECR, EMR, S3, AWS Lambda) Practical experience with deep learning models Practical experience with Spark  What we offer: We offer you attractive professional and educational opportunities, a competitive salary, and fun colleagues who make every online and offline event a treat. Briefly about us: Provectus is an Artificial Intelligence consultancy and solutions provider, helping businesses achieve their objectives through AI. We are recognized by industry analysts as a leading provider of AI solutions in specific business domains, driven by sophisticated IT service management and tech innovation. Provectus is a value driver and a trusted partner for our clients and employees. We are waiting for you to become a part of our team!"
Senior Machine Learning Engineer (Кипр),https://hh.ru/applicant/vacancy_response?vacancyId=43249913,2021-06-27T18:04:02+0300,False,5500,7000,EUR,Более 6 лет,Полный день,,MetaQuotes Software Corp.,Москва,"Внимание. Вакансия предполагает обязательный переезд на Кипр, в Лимасол - удаленная работа или аутсорс-услуги не рассматриваются.    MetaQuotes, компания с мировым именем, многолетний и безоговорочный лидер индустрии, продолжает расширять возможности для своих клиентов, постоянно повышая качество и дополняя функциональность своих продуктов.   Мы начинаем поиск Ведущего ML специалиста для постоянной работы в штате нашей компании. Нам нужен въедливый практик, человек, который решает задачи сам, от ее постановки до полной интеграции в процесс.   Мы НЕ ищем руководителя/аналитика/консультанта, который может научить работать других. Нам нужен тот, кто будет работать самостоятельно.  Просим вас в сопроводительном письме указать ссылки на портфолио внедренных вами проектов.     Вам предстоит заняться следующим:   разработкой систем поведенческого анализа и классификацией пользователей в областях: финансового трейдинга, рекламной аналитики, трекинга посетителей сайтов разработкой механизма непрерывной автоматической рекластеризации и механизмов модерации новых классов внедрением ML-решений в имеющуюся инфраструктуру работой с бизнес-заказчиками; соблюдение согласованных сроков; участие во всём цикле проекта - от сбора идей до реализации, внедрения в продакшн и последующего непрерывного развития  Ожидания:  опыт в проектах по моделированию в бизнес-ориентированном окружении; практика применения ML в реальных задачах от 0 до 100% готовности опыт интеграции систем моделирования с серверным программным обеспечением, в идеале - с С++ приложениями опыт в разработке ML систем - от 5 лет в бизнес-ориентированном окружении широкий кругозор в индустрии и знание актуальных трендов в теории и инструментах ML: классические методы, нейронные сети, Python, R, tensor-flow; умение быстро и аргументированно оценивать преимущества и недостатки различных подходов  Что даст вам преимущество перед другими кандидатами:  опыт в проектах по: классификации пользователей по поведенческим параметрам, выявлению мотивированного поведения, классификации веб-сайтов и приложений, симуляции спортивных соревнований знание Python (Cython, Jython, PyPy), NumPy, SciPy, Pandas; опыт коммерческой разработки С++ знание SQL, NoSQL баз данных и MapReduce: Mongo, Elastic, Hadoop, ClickHouse навыки devops в Windows и/или Linux окружении: ansible, shef, shell programming  Условия:  Полная оплата вашего проезда и проживания для посещения собеседования (если понадобится очная встреча) Компенсация всех ваших расходов на переезд, мы выплачиваем вам одноразовую компенсацию не менее 5000 евро Компенсация расходов на аренду жилья в первый месяц проживания на Кипре Помощь в оформлении всех необходимых документов Заработная плата выше рынка Медицинская страховка для вас и вашей семьи Бесплатное питание в офисе Уникальный опыт, невероятно сильная команда "
Специалист по Machine learning,https://hh.ru/applicant/vacancy_response?vacancyId=44429431,2021-07-18T14:05:15+0300,False,250000,,RUR,От 3 до 6 лет,Гибкий график,C++;Machine learning;CUDA;OpenCV;Neural Networks;Python;,Адалиск,Москва,"Стабильной компании специализирующейся на решении задач связанных с трехмерным моделированием и обработкой 3D данных, давно и успешно работающей с крупным стратегическим партнером в США, требуется специалист по machine learning для разработки 3D CAD системы. Это работа для тех, кто любит придумывать алгоритмы и решать сложные задачи. Вам будет предоставлена большая свобода творчества и простор для экспериментов. Если вы знаете математику, С++, нейронные сети и готовы применить эти знания для решения интересных задач, которые до вас никто не решал, добро пожаловать. Обязанности:  Разработка алгоритмов для медицинской (ортодонтия) CAD системы с использованием машинного обучения. Дизайн и разработка Deep Learning решений для 3D данных, включая данные, представленные полигональными сетками и облаками точек. Дизайн и разработка Deep Learning решений для восстановления трехмерных сцен из 2D изображений. Разработка количественных и качественных оценок Deep Learning алгоритмов Создание и поддержка кодовой базы и необходимой документации. Исследования и эксперименты в разработке алгоритмов машинного обучения. Способность работать одновременно над несколькими алгоритмами и быстро прототипировать алгоритмы.  Требования:  Глубокое знание DNN (Deep Neural Networks), желательно PyTorch. Отличное знание и серьезный опыт работы с Python. Серьезный опыт работы с обработкой изображений и/или компьютерным зрением. Опыт работы и знание GAN – плюс. Опыт работы с DNN в области обработки 3D данных (облака точек, полигональные сетки), включая реконструкцию 3D данных из 2D – плюс. Опыт работы по разработке DL решений для мобильных устройств – плюс. Знание и опыт работы с С++ - будет плюсом. Хорошая математическая подготовка, знание предметной области и алгоритмов аналитической геометрии и линейной алгебры, знание вычислительной математики. Знание английского языка на разговорном уровне.  Условия:  Официальное трудоустройство, полностью белая конкурентоспособная заработная плата без задержек; Регулярная индексация зарплаты, бонус по итогам года; Гибкий график, вы сможете совмещать работу с образованием или хобби. Формат работы может быть любым - офис/удаленка, все обсуждается. Переработки бывают очень редко, но если это случается - предоставляется дополнительный выходной; ДМС (включая стоматологию и госпитализацию) сразу после испытательного срока, страхование выезжающих за рубеж; возможность страхования членов семьи; Комфортный офис, не &quot;опен-спейс&quot;, бесплатные обеды, оплата тренажерного зала; Дружный доброжелательный коллектив, в котором приятно работать, лояльное начальство; Возможны командировки в США. "
Middle Machine Learning Engineer,https://hh.ru/applicant/vacancy_response?vacancyId=45369002,2021-07-09T11:31:59+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Python;Machine Learning;Spark;AWS;Английский язык;NLP;,Provectus,Казань,"At Provectus, we are obsessed with technologies that impact the future of the whole of humanity. Just imagine: AI for curing eye diseases, ML for making factories safe for workers, preventing pandemic spreading, etc. It’s not about the future, it’s about the products we’ve already developed with #ProvectusTeam. Join us if you have the same passion for making products using AI/ML technologies, cloud services, and data engineering. Join us if you value a friendly corporate environment, and almost a family-driven approach to every employee. Join us if you want to grow professionally and ready for learning new things constantly.   As a Machine Learning Engineer, you’ll be provided with all opportunities for development and growth.   Responsibilities:  Create ML models from scratch or improve existing models Collaborate with the engineering team, data scientists and product managers to productionize models Develop experimentation roadmap Setup reproducible experimentation environment and implement experimentation pipelines  Requirements:  Comfortable with standard ML algorithms and underlying math Practical experience with solving classification and regression tasks in general, feature engineering Practical experience with one or more use cases from the following: NLP, Computer Vision, Forecasting Solid software engineering skills (i.e., ability to produce well-structured modules, not only notebook scripts) Python expertise, Docker English level - strong intermediate  Strong plus:  Practical experience with ML models in production Practical experience with cloud platforms (AWS stack is preferred, e.g. Amazon SageMaker, ECR, EMR, S3, AWS Lambda) Practical experience with deep learning models Practical experience with Spark  What we offer: We offer you attractive professional and educational opportunities, a competitive salary, and fun colleagues who make every online and offline event a treat. Briefly about us: Provectus is an Artificial Intelligence consultancy and solutions provider, helping businesses achieve their objectives through AI. We are recognized by industry analysts as a leading provider of AI solutions in specific business domains, driven by sophisticated IT service management and tech innovation. Provectus is a value driver and a trusted partner for our clients and employees. We are waiting for you to become a part of our team!"
Machine Learning Team Lead,https://hh.ru/applicant/vacancy_response?vacancyId=38605900,2021-07-19T05:57:15+0300,False,,,,От 1 года до 3 лет,Гибкий график,,Azoft,Новосибирск,"18 лет компания Azoft работает на рынке международного IT-аутсорсинга, предоставляя услуги разработки ПО для компаний по всему миру. Мы ищем ответственного, ориентированного на людей руководителя отдела. Готового вкладывать в своих людей время и силы.Отдел R&amp;D занимается нестандартными проектами, на которых применяет методы машинного обучения для решения задач наших клиентов. Мы учим квадрокоптер летать самостоятельно, распознаем объекты на изображениях, анализируем видео - и аудио- потоки, разрабатываем рекомендательные системы и др. Чем предстоит заниматься: Руководить отделом, а именно   Координировать работу отдельных ML-инженеров и целых команд   Распределять проектные ресурсы и планировать загрузку   Повышать эффективность бизнес-процессов внутри отдела и во взаимодействии со смежными отделами   Совместно с отделом продаж обеспечивать загрузку для разработчиков, участвовать в переговорах с клиентами, помогать находить и выигрывать крутые проекты   Совместно с HR-ами подбирать, адаптировать, мотивировать, развивать и продвигать разработчиков   Быть лицом отдела на внутренних и внешних мероприятиях   Выполнять целевые показатели по ФОТ и загрузке разработчиков   Вести отчетность и защищать ее перед руководством компании   Пожелания к будущему сотруднику:   Высшее профильное образование: мехмат, физфак, факультет информационных технологий   Широкий кругозор в IT и методах ML   Желательно, дополнительное образование по направление методов Machine Learning   Развитые коммуникации, умение договориться, выступить с докладом   Умение собирать и анализировать информацию, принимать обоснованные решения   Готовность брать ответственность за себя и своих сотрудников   Английский язык - Upper Intermediate и выше   Мы предлагаем:   Профессиональную и очень дружелюбную команду   Возможность принимать решения и влиять на жизнь компании   Пространство для реализации себя, своих профессиональных и финансовых амбиций   По-настоящему гибкий график работы   Развитие сотрудников: семинары, конференции, English   Забота о здоровье: 2 крутые команды - ИТ-футбол и ИТ-баскетбол, частичная компенсация абонементов в бассейн и фитнес-клубы.   Хороший отдых: совместные праздники и еженедельные Печенька-Party   Закрытая парковка: для автомобилей, велосипедов, самокатов, гироскутеров :)    "
Computer Vision Engineer (Machine Learning),https://hh.ru/applicant/vacancy_response?vacancyId=46182093,2021-07-15T06:04:16+0300,False,,,,От 1 года до 3 лет,Удаленная работа,Python;OpenCV;C++;Tensorflow;YoLo3+;Машинное обучение;Machine Learning;Computer Vision;,РусИнТех Сервис,Новосибирск,"RIT Automation – разработчик, предоставляющий высокотехнологичные решения для горнодобывающей промышленности с 2011г. Наши решения: системы высокоточного позиционирования оборудования и персонала, системы автоматизации и диспетчеризации производственного процесса, роботизация. Мы являемся резидентами Инновационного центра &quot;Сколково&quot; и Технологического парка &quot;Академпарк&quot;. Мы приглашаем в нашу команду специалиста в области ML для участия в развитии нового направления.  Обязанности:   разработка алгоритмов машинного зрения;   настройка баз данных;   решение задачи контроля периметра;   настройка и развитие инфраструктуры разработки систем машинного зрения, машинного обучения.   Требования:  высшее образование (желательно математика, физтех); C++, Python, Tensorflow, YoLo3+, OpenCV; опыт создания инфраструктуры по разработке систем машинного обучения и компьютерного зрения; знание основных библиотек.  Условия:   Официальное трудоустройство (&quot;белая&quot; заработная плата), ДМС;   Работа удаленно (возможна работа в офисе);   Удобный для тебя график работы (возможно совмещение с учебой);   Кофе, чай, фрукты и др. плюшки, а также свободная парковка для машин;   Разнообразные корпоративные мероприятия.   Если тебя заинтересовала наша вакансия, смело отправляй резюме!"
Senior Machine Learning Engineer,https://hh.ru/applicant/vacancy_response?vacancyId=42359317,2021-06-21T20:38:29+0300,False,,,,От 3 до 6 лет,Полный день,machine learning;AWS;Airflow;Kubernetes;,Grid Dynamics,Санкт-Петербург,"A project for one of the largest players in the game industry in the US. The customer is an American video game publisher based in California. The team is doing DS and ML for Sales predictions for the whole year. Our project team is 1MLOPS and 3 DS. AWS ecosystem.Responsibilities:  Ability to lead the project. Proactively educating the client team and bringing best practices. Communicate with business stakeholders to clarify their requirements and present the teamwork results.  Requirements:  5+ years of experience developing and deploying machine learning systems into production. Solid experience with AWS ecosystem Strong experience working with Airflow, SageMaker, Snowflake University or advanced degree in engineering, computer science, mathematics, or a related field. Strong knowledge of data pipeline and workflow management tools. Relevant working experience with Docker and Kubernetes is a plus. Experience in working across different global cultures a plus. Good communication skills and interpersonal skills.  We offer:  Opportunity to work on bleeding-edge projects Work with a highly motivated and dedicated team Flexible schedule Medical insurance Benefits program Corporate social events Professional development opportunities  About us: Grid Dynamics is the engineering services company known for transformative, mission-critical cloud solutions for retail, finance and technology sectors. We architected some of the busiest e-commerce services on the Internet and have never had an outage during the peak season. Founded in 2006 and headquartered in San Ramon, California with offices throughout the US and Eastern Europe, we focus on big data analytics, scalable omnichannel services, DevOps, and cloud enablement."
Product manager/менеджер продукта (Machine learning),https://hh.ru/applicant/vacancy_response?vacancyId=45967876,2021-07-20T11:51:50+0300,False,150000,,RUR,От 1 года до 3 лет,Полный день,Проведение презентаций;HTTP;HTTPS;HLS;MPEG_DASH;SRT;Английский язык;Launching new products;,СДН-видео,Москва,"CDNvideo – крупнейший оператор CDN в России и СНГ. Мы именно те, кто способствует возможности посмотреть трансляцию футбольного матча, церемонии вручения кинонаград из Лос- Анджелеса, Олимпиаду или прямую линию с президентом и etc. в максимально хорошем и доступном качестве в режиме реального времени. В данный момент мы развиваем дополнительный проект по направлению machine learning и ищем драйвового продуктолога, который выведет данный проект &quot; в люди&quot;. Обязанности: - выявление и приоритизирование перспективных точек роста - разработка видения и плана дорожной карты - взаимодействие с дирекцией о жизнедеятельности продукта  - определение ценовой политики продуктов - определение метрик успешности продукта (выручка и обратная связь) - консультация продавцов и маркетологов по вопросам продукта - помощь в создании презентаций - поиск поставщиков решений и взаимодействие с ними - сравнение с конкурентами - выступление на профильных конференциях - подготовка видеоинструкций - клиентская документация Требования:   Понимание современного состояния и возможностей ML в области GAN и Computer Vision. Знание основных типов нейронных сетей, методов их обучения и методов оценки качества.     Понимание механизма работы сетевых протоколов TCP/IP, HTTP/HTTPS и стриминговых протоколов HLS, MPEG_DASH, SRT (желательно);&quot;  Опыт работы в IT в качестве продуктолога, маркетолога или в продажах от 2 лет, либо опыт организации собственного бизнеса (предпочтительно); Отличные коммуникативные навыки, умение понимать людей и договариваться с ними;   Умение готовить продающие презентации и снимать обучающие видео; Ответственность, инициативность, творческое мышление; Стратегическое мышление, умение находить точки роста и нестандартные решения; Понимание механизма работы сетевых протоколов TCP/IP, HTTP/HTTPS и стриминговых протоколов HLS, MPEG_DASH, SRT (желательно); Хороший письменный русский, английский на уровне не ниже среднего (чтение/переписка), китайский (будет бонусом).  Условия: Мы предлагаем:  стабильную работу в инновационной быстроразвивающейся компании-резиденте технопарка Сколково, оформление по ТК РФ ( официальная заработная плата, включая все премии; оплата больничных в 100% размере, отпуск). заработная плата: оклад + реально выплачиваемая премия по итогам месяца+ итоговая годовая премия при успешной реализации и запуске продуктов график 5/2 с 10 до 19 в самом центре столицы; возможность развиваться не только в работе, но и посвящать время спорту (футбол/настольный теннис/коньки/лыжи и пр.) вместе с коллегами, и другим увлечениям; "
Data scientist/Machine learning engineer в команду прикладных исследований ИИ,https://hh.ru/applicant/vacancy_response?vacancyId=44007750,2021-07-15T10:37:33+0300,False,,,,От 1 года до 3 лет,Гибкий график,Python;C++;ML;Deep Learning;PyTorch;Machine Learning;,ВКонтакте,Санкт-Петербург,"Наша команда развивает передовые технологии машинного обучения и искусственного интеллекта.Приглашаем специалиста, который будет вместе с нами работать над проектами на грани «вау» и «это нереально».   Вам предстоит: • заниматься различными задачами по обработке естественного языка; • обучать и внедрять современные SoTA-модели на основе BERT и GPT; • исследовать и воплощать в жизнь решения для суммаризации, машинного перевода и автоматической поддержки пользователей; • разрабатывать диалоговые системы; • оптимизировать работу новых сервисов; • решать новые задачи в Language Processing.   У нас интересно, потому что: • вы будете создавать новые технологии, по качеству сопоставимые с разработками конкурентов-гигантов; • сможете придумывать изящные решения для сложных задач; • выступать на митапах и конференциях с докладами и статьями, рассказывать о топ-технологиях, которые мы применяем у себя (среди них суммаризация, автофильтры, unintended bias в задаче текстовой классификации, сжатие моделей и многое другое).   Иван Самсонов, менеджер проекта: «Проекты, за которые берётся наша команда, — это всегда челленджи, меняющие восприятие аудитории.Если вы хотите сделать что-то действительно новое и крутое, присоединяйтесь к нам!»   Мы ожидаем, что вы: • пишете на Python; • понимаете концепции Deep Learning и можете свободно их применять; • знаете классические и современные подходы к обработке естественного языка; • умеете пользоваться PyTorch или TensorFlow; • владеете Bash и CUDA; • знаете Docker. Будет плюсом, если вы работали с диалоговыми системами, суммаризацией и машинным переводом.   Сейчас все сотрудники ВКонтакте находятся на удалёнке, поэтому мы ждём кандидатов, которые начнут работать из дома, а в будущем смогут продолжить в офисе. Будьте уверены в своих силах, откликайтесь — желаем удачи!"
Product-менеджер (Machine Learning),https://hh.ru/applicant/vacancy_response?vacancyId=45824083,2021-06-29T14:33:25+0300,False,,,,От 3 до 6 лет,Гибкий график,Product Development;Machine Learning;IaaS;,Selectel,Санкт-Петербург,"Мы в поисках Product-менеджера для развития ML-направления в команду разработки ML/AI продуктов.  Основные задачи ML команды   Создавать новые продукты для автоматизации ML разработки   Разработка платформенных сервисов с использованием ML   Исследование новых платформ/инструментов для внедрение их в продукты компании   Основные задачи на этой позиции   Исследование пользователей   Генерация и проверка гипотез   Подготовка требований и постановка задач на разработку   Контроль и приемка результатов   Запуск продукта   От вас мы ожидаем   Опыт работы системным аналитиком или продакт-менеджером (желательно в IT)   Опыт запуска продуктов или отдельных фичей IT-продуктов   Хорошие знания и богатый опыт в части исследований пользователей (JTBD, CustDev, CJM, юзабилити тесты)   Системный подход, умение очень хорошо структурировать информацию   Техническая компетентность в предметной области   Развитые soft skills (коммуникация, разрешение противоречий, работа с конфликтами)   Любознательность   Мы придем в восторг, если у вас есть   Понимание, чем идея отличается от гипотезы   Знание теории систем или ТРИЗ   Знание рынка IaaS (или его понимание)   Опыт в работе с ML - обработка данных, разработка моделей и их применение   Про условия работы   Официальное оформление, белая зарплата   Годовая премия по результатам работы до 15% от суммарного оклада за 12 месяцев   Офис в г. Санкт-Петербург, 10 минут пешком от м. Московские ворота, своя парковка   Релокационный бонус при переезде   Бесплатные обеды и кофе-брейки   Гибкое начало рабочего дня (до 12:00)   Про здоровье и спорт   Ежемесячная надбавка за некурение   ДМС + стоматология + офисный врач   Доступ к психологическим консультациям: онлайн, в офисе или кабинете психолога   50% оплата абонемента в фитнес-клуб   Спортивные мероприятия (турниры по пейнтболу, картингу, «Гонка героев», киберспорт)   Аренда залов для футбола на газоне, пляжного волейбола, йога в офисе   Офисный душ   Про развитие   От 50% до 100% оплаты обучения английскому, еженедельные бесплатные разговорные клубы с носителями языка   Внутренние обмены знаниями: lightning &amp; thunder talks   Персонализированный план обучения, возможность участия в конференциях по всему миру   Онлайн-библиотека Alpina Digital   Про досуг   Образовательные мероприятия (мастер-классы, лекции про вселенную или по психологии, квизы и многое другое)   Походы в кино на фильмы про динозавров и трансляции фильмов в собственном конференц-зале   PlayStation VR zone, кикер и настольный теннис  "
